common_name,sci_name,sci_name_cite,distribution,distribution_cite,tree_rad_low,tree_rad_low_cite,tree_rad_high,tree_rad_high_cite,density,density_cite,janka_hardness,janka_hardness_cite,rupture_modulus,rupture_modulus_cite,elastic_modulus,elastic_modulus_cite,crushing_strength,crushing_strength_cite,shrink_rad,shrink_rad_cite,shrink_tan,shrink_tan_cite,shrink_volumetric,shrink_volumetric_cite,rot_resistance,rot_resistance_cite,workability,workability_cite,common_uses,common_uses_cite,primary_sources,primary_sources_cite,archaeological_sources,archaeological_sources_cite,shapefile,shapefile_cite,secondary_sources,secondary_sources_cite,notes,notes_cite,tree_height_low,tree_height_low_cite,tree_height_high,tree_height_high_cite,image,image_cite
" rengas, borneo rosewood, tiger rengas",gluta spp. and melanorrhoea spp.,1,from india to papua new guinea,1,0.6,1,1.2,1,765,1,7650,1,90.3,1,13.2,1,57.8,1,2.9,1,5.3,1,8.2,1," rated as moderately durable, though not resistant to termites or other insects.",1,"severely dulls cutting tools due to a high silica content. otherwise, wood is fairly easy to work and glues and finishes well.",1," turned objects, cabinetry, furniture, and other specialty wood items.",1,,,,,,,,,,,30,1,40,1,,
" pau ferro, morado, bolivian rosewood, santos rosewood",machaerium spp. (machaerium scleroxylon),1,tropical south america (mainly brazil and bolivia),1,1,1,1.5,1,865,1,8710,1,122.4,1,10.86,1,60.9,1,2.8,1,6.7,1,9.9,1," rated as verydurable, though quite susceptible to insect attack, and not recommended in direct ground contact.",1,"pau ferro is considered overall to be of fair workability, as it can blunt the cutting edges of tools, and any irregular grain has a tendency to tearout during machining operations. also, many of the same challenges in gluing rosewoods are common to pau ferro as well. pau ferro turns and finishes well.",1," veneer, musical instruments, cabinetry, flooring, interior trim, turning, and other small specialty wood objects.",1,,,,,,,,,,,20,1,30,1,,
" tiete rosewood, patagonian cherry, sirari",guibourtia hymenaeifolia (syn.g. chodatiana),1,south america,1,1,1,2,1,945,1,12410,1,109.2,1,14,1,0,1,4,1,7,1,9.7,1," no specific data is available on the decay resistance of tiete rosewood, but tests have shown that untreated wood used in exterior applications has a tendency to warp and check.",1,"tiete rosewood is hard and dense, making it more difficult to work than lighter woods, but its straight and uniform grain give it a reasonable workability. also, wood species in the guibourtia genus tend to contain silica that can prematurely dull cutters.""",1," interior flooring, turned objects, and other small specialty wood items.",1,,,,,,,,,,,40,1,50,1,,
"rubberwood, plantation hardwood, para rubbertree",hevea brasiliensis,1,"native to brazil, but extensivelycultivatedin tropical regions, especially in asia",1,0.3,1,1,1,595,1,4280,1,71.9,1,9.07,1,42.1,1,2.3,1,5.1,1,7.5,1," rubberwood is perishable, and has very little natural resistance to decay. it is alsosusceptibleto fungal staining and insect attacks.",1,"easy to work with both hand and machine tools. rubberwood tends to warp and twist in drying, though it is fairly stable in service once seasoned. glues, stains, and finishes well.",1,"furniture, cabinetry, interior millwork, kitchen woodenware (cutting boards, knifeblocks, etc.), and other small,specialtywood items.",1,,,,,,,,,,,23,1,30,1,,
" sapele, sapelli, sapeli",entandrophragma cylindricum,1,tropical africa,1,1,1,1.5,1,670,1,6280,1,109.9,1,12.04,1,60.4,1,4.8,1,7.2,1,12.8,1,heartwood ranges from moderately durable to very durable in regard to decay resistance.moderate insect/borer resistance.,1,"sapele can be troublesome to work in some machining operations, (i.e., planing, routing, etc.), resulting in tearout due to its interlocked grain. it will also react when put into direct contact with iron, becoming discolored and stained. sapele has a slight blunting effect on cutters, but it turns, glues, and finishes well.",1," veneer, plywood, furniture, cabinetry, flooring, boatbuilding, musical instruments, turned objects, and other small wooden specialty items.",1,,,,,,,,,,,30,1,45,1,,
sassafras,sassafras albidum,1,eastern united states,1,0.6,1,1,1,495,1,2800,1,62.1,1,7.72,1,45.5,1,4,1,6.2,1,10.3,1,rated as durable to very durable.,1,"easy to work with both hand and machine tools. sassafras also has good dimensional stability once dry. glues, stains, and finishes well.",1,"utility lumber, fence posts, boatbuilding, and furniture.",1,,,,,,,,,,,15,1,20,1,,
" blackheart sassafras, tasmanian sassafras",atherosperma moschatum,1,australia,1,0.6,1,1,1,620,1,4860,1,100.5,1,12.6,1,44.1,1,2.5,1,6.3,1,8.9,1,rated as non-durable to perishable.,1,"easy to work with both hand and machine tools. responds well to steam-bending operations, with little spring-back. turns, glues, stains, and finishes well.",1,"cabinetry, furniture, flooring, musical instruments, carvings, and turned objects.",1,,,,,,,,,,,15,1,25,1,,
" pyinma, asian satinwood, crepe myrtle",lagerstroemia spp.,1,southeast asia,1,0.6,1,1,1,705,1,4850,1,97.4,1,10.8,1,64.1,1,4.4,1,6.8,1,12.7,1," rated as moderately durable to durable regarding decay resistance, withintermediateresistance to insect attack.",1,"generally easy to work, producing good results, though pieces with curly grain (as with any species of figured wood) will be inevitably moredifficultto plane and machine without tearout. doesn't have the blunting effect on cutters that true satinwoods exhibit. turns, glues, and finishes well, polishes to a high luster.",1," furniture, boatbuilding, general utility work (within its native range), turned objects, and other small specialty items.",1,,,,,,,,,,,12,1,20,1,,
" east indian satinwood, ceylon satinwood",chloroxylon swietenia,1," central and southern india, and sri lanka (formerly ceylon)",1,0.3,1,0.5,1,975,1,11650,1,145.4,1,14.56,1,71.8,1,5.7,1,8.1,1,13.9,1," rated as very durable regarding decay resistance, though susceptibleto insect attack.",1,"difficult to work on account of its high density and interlocked grain. most surfacing and planing operations result in tearout,especially on quarter sawn surfaces. pronounced blunting effect on cutters. turns superbly. glues and finishes wellable to take a high natural polish.",1," veneer, inlays, fine furniture, turned objects, and other small specialty items.",1,,,,,,,,,,,12,1,15,1,,
" east indian satinwood, ceylon satinwood",chloroxylon swietenia,1," central and southern india, and sri lanka (formerly ceylon)",1,0.3,1,0.5,1,975,1,11650,1,145.4,1,14.56,1,71.8,1,5.7,1,8.1,1,13.9,1," rated as very durable regarding decay resistance, though susceptibleto insect attack.",1,"difficult to work on account of its high density and interlocked grain. most surfacing and planing operations result in tearout,especiallyon quartersawn surfaces. pronounced blunting effect on cutters. turns superbly. glues and finishes well, able to take a high natural polish.",1," veneer, inlays, fine furniture, turned objects, and other small specialty items.",1,,,,,,,,,,,12,1,15,1,,
" movingui, ayan, nigerian satinwood",distemonanthus benthamianus,1,west africa,1,1,1,1.5,1,720,1,5680,1,129.2,1,12.23,1,61.3,1,3.5,1,5.7,1,10,1," rated as moderately durable regarding decay resistance, and moderately resistant to termite attack.",1,"generally the wood is easy to work, though movingui can have up to 1.3% silica content by weight, which may result in blunting effects ranging from moderate to severe. quartersawn surfaces may be inclined to tearout during planing, and charring of the wood may occur during drilling. movingui glues, stains, and finishes well.responds moderately well to steam bending.",1," veneer, cabinetry, furniture, and flooring.",1,,,,,,,,,,,30,1,38,1,,
west indian satinwood,zanthoxylum flavum(syn. fagara flava),1,caribbean,1,0.3,1,0.46,1,900,1,8100,1,0,1,0,1,0,1,6,1,9,1,15,1," reports range from durable to non-durableregardingdecay resistance, withintermediateresistance to insectattack.",1,"difficult to work on account of its high density and interlocked grain. most surfacing and planing operations result in tearout,especiallyon quartersawn surfaces. pronounced blunting effect on cutters. turns superbly. glues and finishes well, able to take a high natural polish.",1," veneer, inlays, fine furniture, turned objects, and other small specialty items.",1,,,,,,,,,,,9,1,12,1,,
" amazique, amazoue, mozambique, ovangkol, shedua",guibourtia ehie,1,tropical west africa,1,1,1,1.5,1,825,1,5900,1,140.3,1,18.6,1,64.2,1,4.3,1,8.3,1,12.1,1," rated as moderately durable, with good resistance to insect attack.",1,"overall a fairly easy wood to work, though ovangkol contains silica and can therefore dull cutters prematurely. also, if the grain is interlocked, or if there is other figure present in the wood, planing and other machining operations may be troublesome and cause tearout. turns, glues and finishes well.",1," veneer, furniture, cabinetry, turned objects, musical instruments, and flooring.",1,,,,,,,,,,,30,1,45,1,,
" sissoo, sheesham",dalbergia sissoo,1," primarily northern india, nepal, and pakistan, as well as western asia; also grown on plantations",1,0.6,1,1,1,770,1,7380,1,97.5,1,10.4,1,55.5,1,3.1,1,5.3,1,8.4,1,sissoo has good decayresistance and is rated as durable to very durable.,1,"sissoo has good working characteristics, and responds well to nearly all machining operations (the exception being sections of wood with interlocked grain, which tend to tear out during surfacing). however, chalky deposits occasionally present in the wood can dull cutters quickly. sissoo turns, glues, and finishes well.",1," veneer, plywood, musical instruments (percussion), furniture, flooring, boatbuilding, carving, and turned objects.",1,,,,,,,,,,,10,1,20,1,,
sheoak,allocasuarina spp. and casuarina spp.,1,australia,1,0.3,1,0.6,1,750,1,9730,1,105,1,10.68,1,47,1,4,1,10.8,1,14.8,1,"varies depending on species, many are rated as non-durable, though some are moderately durable or durable. most species are susceptible to insect attack.",1,"denser species can be difficult to work, and overall working properties are considered subpar when compared to domestic hardwoods such as oak (quercus spp.) finishes well.",1,"flooring, cabinetry, tool handles, and other turned objects.",1,,,,,,,,,,,15,1,40,1,,
"shittim, red acacia, shittah",vachellia seyal (syn. acacia seyal),1,northern tropical africa,1,0.3,1,0.6,1,660,1,5110,1,98.1,1,10.69,1,46.2,1,3.6,1,5.8,1,9.5,1,no data available.,1,no data available.,1,no data available.,1,,,,,,,,,,,8,1,15,1,,
" northern silky oak,australianlacewood",cardwellia sublimis,1," queensland, australia",1,0.6,1,1,1,560,1,3740,1,65.7,1,8.92,1,39.2,1,3.8,1,7.2,1,11.5,1," northern silky oak is rated from moderately durable to non-durable, and is also susceptible to insect attack.",1,"overall a fairly easy wood to work with, though there may be some difficulty in planing, with tearout occurring. northern silky oak also has a medium to high blunting effect on cutting edges. glues and finishes well.",1," veneer, cabinetry, fine furniture, musical instruments, turned objects, and other small specialty items.",1,,,,,,,,,,,15,1,25,1,,
southern silky oak,grevillea robusta,1," eastern coastal australia, also grown on plantations in south africa",1,0.6,1,1,1,590,1,3930,1,74.4,1,7.93,1,35,1,2.7,1,7.7,1,10.5,1," southern silky oak is rated as moderately durable to durable in regards to decay resistance, and it is also moderately resistant to most insect attacks.",1,"overall a fairly easy wood to work with, though there may be some difficulty in planing, with tearout occurring. southern silky oak also has a moderate blunting effect on cutting edges. glues and finishes well.",1," veneer, cabinetry, fine furniture, musical instruments, turned objects, and other small specialty items.",1,,,,,,,,,,,20,1,30,1,,
" utile, sipo, sipo mahogany",entandrophragma utile,1,west and central africa,1,1,1,1.5,1,635,1,5260,1,103.8,1,11.65,1,57.1,1,4.9,1,6.9,1,11.8,1,"rated as moderately durable to durable, with mixed reports on insect resistance.",1,"utile can be troublesome to work in some machining operations, (i.e., planing, routing, etc.), resulting in tearout due to its interlocked grain. it will also react when put into direct contact with iron, becoming discolored and stained. turns, glues, and finishes well.",1," furniture,cabinetry, veneer, boatbuilding, flooring, and turned objects.",1,,,,,,,,,,,45,1,60,1,,
" tiete rosewood, patagonian cherry, sirari",guibourtia hymenaeifolia (syn.g. chodatiana),1,south america,1,1,1,2,1,945,1,12410,1,109.2,1,14,1,0,1,4,1,7,1,9.7,1," no specific data is available on the decay resistance of tiete rosewood, but tests have shown that untreated wood used in exterior applications has a tendency to warp and check.",1,"tiete rosewood is hard and dense, making it more difficult to work than lighter woods, but its straight and uniform grain give it a reasonable workability. also, wood species in the guibourtia genus tend to contain silica that can prematurely dull cutters.""",1," interior flooring, turned objects, and other small specialty wood items.",1,,,,,,,,,,,40,1,50,1,,
" sissoo, sheesham",dalbergia sissoo,1," primarily northern india, nepal, and pakistan, as well as western asia; also grown on plantations",1,0.6,1,1,1,770,1,7380,1,97.5,1,10.4,1,55.5,1,3.1,1,5.3,1,8.4,1,sissoo has good decayresistance and is rated as durable to very durable.,1,"sissoo has good working characteristics, and responds well to nearly all machining operations (the exception being sections of wood with interlocked grain, which tend to tear out during surfacing). however, chalky deposits occasionally present in the wood can dull cutters quickly. sissoo turns, glues, and finishes well.",1," veneer, plywood, musical instruments (percussion), furniture, flooring, boatbuilding, carving, and turned objects.",1,,,,,,,,,,,10,1,20,1,,
" snakewood, letterwood, amourette",brosimum guianense(syn.piratinera guianensis),1,coastal regions of northeast south america,1,0.15,1,0.3,1,1210,1,16900,1,195,1,23.2,1,119,1,4.7,1,6,1,10.7,1," snakewood is reported to be very durable and also resistant to insect attack, though it is seldom used in exterior applications where durability would be an issue.",1,being closely related to bloodwood,1,snakewood shares many of the same working properties; namely the wood is extremely dense,1,,,,,,,,,,,20,1,25,1,,
sourwood,oxydendrum arboreum,1,southeastern united states,1,0.3,1,0.6,1,610,1,4180,1,80,1,10.62,1,42.7,1,6.3,1,8.9,1,15.2,1,,1,,1,,1,,,,,,,,,,,10,1,20,1,,
" tamarind, spalted tamarind",tamarindus indica,1,native to tropical africa; widely planted throughout tropical regions worldwide,1,0.6,1,1,1,850,1,11970,1,111,1,13.22,1,59.6,1,3,1,7,1,11,1," furniture, carvings, turned objects, and other small specialty wood items.",1,,1,,1,,,,,,,,,,,15,1,24,1,,
black spruce,picea mariana,1,northern north america,1,0.3,1,0.5,1,450,1,2320,1,69.7,1,10.5,1,37.3,1,4.1,1,6.8,1,11.3,1,heartwood is rated as being slightly resistant to non-resistant to decay.,1,"easy to work, as long as there are no knots present. glues and finishes well, though it can give poor (blotchy and inconsistent) results when being stained due to its closed pore structure. a sanding sealer, gel stain, or toner is recommended when coloring spruce.",1," paper (pulpwood), construction lumber, millwork, and crates.",1,,,,,,,,,,,10,1,15,1,,
engelmann spruce,picea engelmannii,1,western north america,1,1,1,0,1,385,1,1740,1,62.2,1,9.44,1,31.5,1,3.8,1,7.1,1,11,1,heartwood is rated as being slightly resistant to non-resistant to decay.,1,"easy to work, as long as there are no knots present. glues and finishes well, though it can give poor (blotchy and inconsistent) results when being stained due to its closed pore structure. a sanding sealer, gel stain, or toner is recommended when coloring spruce.",1," construction lumber, sheathing, railroad ties, wood pulp, and papermaking; also used occasionally in place of sitka spruce on guitars and other musical instrument soundboards.""",1,,,,,,,,,,,40,1,0,1,,
" norway spruce, european spruce, german spruce",picea abies,1,northern and central europe,1,1,1,1.5,1,405,1,1680,1,63,1,9.7,1,35.5,1,3.9,1,8.2,1,12.9,1,heartwood is rated as being slightly resistant to non-resistant to decay.,1,"easy to work, as long as there are no knots present. glues and finishes well, though it can give poor (blotchy and inconsistent) results when being stained due to its closed pore structure. a sanding sealer, gel stain, or toner is recommended when coloring spruce.",1," paper (pulpwood), construction lumber, millwork, crates, christmas trees, and musical instrument soundboards.",1,,,,,,,,,,,35,1,55,1,,
" red spruce, adirondack spruce",picea rubens,1,eastern north america,1,0.6,1,1.4,1,435,1,2180,1,66,1,10.76,1,33.6,1,3.8,1,7.8,1,11.8,1,heartwood is rated as being slightly resistant to non-resistant to decay.,1,"easy to work, as long as there are no knots present. glues and finishes well, though it can give poor (blotchy and inconsistent) results when being stained due to its closed pore structure. a sanding sealer, gel stain, or toner is recommended when coloring spruce.",1," paper (pulpwood), construction lumber, millwork, crates, christmas trees, and musical instrument soundboards.",1,,,,,,,,,,,24,1,34,1,,
sitka spruce,picea sitchensis,1,northwestern north america,1,1.2,1,1.8,1,425,1,2270,1,70,1,11.03,1,38.2,1,4.3,1,7.5,1,11.5,1,heartwood is rated as being slightly resistant to non-resistant to decay.,1,"easy to work, as long as there are no knots present. glues and finishes well, though it can give poor (blotchy and inconsistent) results when being stained due to its closed pore structure. a sanding sealer, gel stain, or toner is recommended when coloring spruce.",1," lumber, boxes/crates, furniture, millwork, aircraft components, musical instrument soundboards, boatbuilding (masts and spars), wind turbine blades, and virtually any application where a wood material with a good strength-to-weight ratio is needed.",1,,,,,,,,,,,40,1,50,1,,
white spruce,picea glauca,1,northern north america,1,0.6,1,1,1,425,1,2140,1,59.6,1,9.07,1,32.6,1,4.7,1,8.2,1,13.7,1,heartwood is rated as being slightly resistant to non-resistant to decay.,1,"easy to work, as long as there are no knots present. glues and finishes well, though it can give poor (blotchy and inconsistent) results when being stained due to its closed pore structure. a sanding sealer, gel stain, or toner is recommended when coloring spruce.",1," paper (pulpwood), construction lumber, millwork, and crates.",1,,,,,,,,,,,34,1,0,1,,
"sugi, japanese cedar",cryptomeria japonica,1,endemic to japan; commonly grown on plantations within asia,1,2,1,3,1,360,1,1420,1,36.4,1,7.65,1,28,1,2.1,1,6.8,1,10.5,1,rated as moderately durable to durable; moderateinsect/borer resistance.,1,"generally easy to work with hand or machine tools, though knotty areas can be troublesome. responds poorly to steam bending. glues, stains, and finishes well.",1,"siding, paneling, furniture, fences, boatbuilding, and small specialty items.",1,,,,,,,,,,,30,1,50,1,,
" sumac, staghorn sumac",rhus spp. (rhus typhina),1,northeastern united states,1,0.15,1,0.3,1,530,1,3030,1,70.4,1,8.21,1,41,1,0,1,0,1,0,1,,1,,1,,1,,,,,,,,,,,10,1,12,1,,
" sweetbay, swamp magnolia",magnolia virginiana,1,southeastern united states,1,0.6,1,1,1,545,1,3.6,1,75.2,1,11.31,1,39.2,1,4.7,1,8.3,1,12.9,1," rated as non-durable to perishable regarding decay resistance, and alsosusceptibleto insect attack.",1,"generally easy to work with both hand and machine tools. turns, glues, stains, and finishes well.",1," veneer, plywood, interior trim,upholstered furniture frames, and general utility wood.",1,,,,,,,,,,,15,1,24,1,,
" sweetgum, redgum, sapgum",liquidambar styraciflua,1,southeastern united states,1,0.6,1,1,1,545,1,3780,1,86.2,1,11.31,1,43.6,1,5.3,1,10.2,1,15.8,1," heartwood sections are rated as moderately durable to non-durable regarding decay resistance, while the sapwood is perishable. alsosusceptibleto insect attack.",1,"generally easy to work, though planing can produce tearout due to interlocked grain. sweetgum is known to warp and distort badly duringinitialdrying. (after initial drying, distortion is significantly less, but the wood still experiences anappreciableamount of movement in service.) turns, glues, stains, and finishes well. responds moderately well to steam bending.",1," veneer, plywood, furniture (speaker/acoustic cabinets), interior trim, boxes/crates, and turned objects.",1,,,,,,,,,,,20,1,30,1,,
" sycamore, american plane",platanus occidentalis,1,eastern united states,1,1,1,2.4,1,545,1,3430,1,69,1,9.79,1,37.1,1,5,1,8.4,1,14.1,1," sycamore is rated as non-durable to perishable regarding decay resistance, and is susceptible to insect attack.",1,"overall, sycamore works easily with both hand and machine tools, though the interlocked grain can be troublesome in surfacing and machining operations at times. sycamore turns, glues, and finishes well. responds poorly to steam bending.",1," veneer, plywood, interior trim, pallets/crates, flooring, furniture, particleboard, paper (pulpwood), tool handles, and other turned objects.",1,,,,,,,,,,,23,1,37,1,,
" tamarack, american larch, eastern larch",larix larcina,1,canada and northeastern united states,1,0.3,1,0.6,1,595,1,2620,1,80,1,11.31,1,49.4,1,3.7,1,7.4,1,13.6,1,moderately durable regarding decay resistance.,1,"most hand and machine operations produce good results. however, tamarack is high in silica content and will blunt cutting edges. also, because of the disparity between the soft earlywood and the hard latewood, sanding can create dips and uneven surfaces.",1," snowshoes, utility poles, posts, rough lumber, boxes/crates, and paper (pulpwood).",1,,,,,,,,,,,15,1,20,1,,
" tamarind, spalted tamarind",tamarindus indica,1,native to tropical africa; widely planted throughout tropical regions worldwide,1,0.6,1,1,1,850,1,11970,1,111,1,13.22,1,59.6,1,3,1,7,1,11,1," furniture, carvings, turned objects, and other small specialty wood items.",1,,1,,1,,,,,,,,,,,15,1,24,1,,
" tambootie (variously spelled as tambuti, tambotie, etc.), sandalo",spirostachys africana,1,southern africa,1,0.3,1,0.46,1,955,1,11010,1,102.7,1,9.08,1,61.5,1,2.8,1,5.4,1,8.2,1," tambootie heartwood is rated as being very durable, and is also resistant to insect attack.",1,"overall, tambootie has good workingcharacteristics, and despite its high density, responds well to machining operations. however, blunting effect on cutters is medium to severe. also, because of the presence of natural oils, the wood can be difficult to sand. glues, turns, and finishes well, able to take on a high natural polish.",1," carvings, furniture, turned objects, and other small, specialty wood items.",1,,,,,,,,,,,9,1,15,1,,
tanoak,notholithocarpus densiflorus,1,western united states,1,1,1,1.5,1,675,1,6290,1,114.8,1,14.29,1,56.9,1,4.9,1,11.7,1,17.3,1,rated as non-durable to perishable; poor insect resistance.,1,"good workability with machine or hand tools, though lumber can be challenging to dry without defects or discoloration. poor dimensional stability. glues, stains, and finishes well.",1,"veneer, flooring, railroad cross-ties, and furniture.",1,,,,,,,,,,,20,1,30,1,,
tatajuba,bagassaguianensis,1,northeastern south america,1,0.6,1,1,1,800,1,7650,1,123.7,1,18.98,1,78.9,1,4.4,1,5.9,1,9.6,1," tatajuba has been reported to be durable to very durable regarding decay resistance, with goodresistanceto insectattack. however, it's reported to have rather poorweatheringcharacteristics.",1,"good overall workability, though pieces with interlocked grain may pose a risk of tearout during planing (particularlyquartersawnsurfaces). also, its high silica content means that it will dull cutting edges faster than usual. turns, glues, and finishes well.",1," flooring, decking, boatbuilding, cabinetry, furniture, veneer, and turned objects.",1,,,,,,,,,,,20,1,30,1,,
" afrormosia, afromosia, african teak",pericopsis elata,1,west africa,1,1,1,1.5,1,725,1,6980,1,102.9,1,11.83,1,66,1,3.2,1,6.2,1,9.9,1," rated as very durable regarding decay resistance, and is also resistant to termites and other insects.",1,"in nearly all regards, afrormosia is easy to work with both hand and machine tools, though surfacing boards with interlocking grain may cause tearout. other downsides include a slight blunting effect on cutting edges, and the development of dark stains if left in contact with iron in damp conditions. afrormosia turns, glues, stains, and finishes well.",1," boatbuilding, veneer, flooring, and furniture.",1,,,,,,,,,,,30,1,46,1,,
" cumaru, brazilian teak",dipteryx odorata,1,northern south america,1,1,1,1.5,1,1085,1,14800,1,175.1,1,22.33,1,95.5,1,5.3,1,7.7,1,12.6,1," cumaru has excellent durability and weathering properties. the wood is rated as very durable regarding decay resistance, though it may be susceptible to some insect attacks.",1,"tends to be difficult to work on account of its density and interlocked grain. if the grain is not too interlocked, cumaru can be surface-planed to a smooth finish. however, the wood contains silica and will have a moderate blunting effect on tool cutters. due to its high oil content and density, cumaru can present difficulties in gluing, and pre-boring is necessary when screwing or nailing the wood.",1," flooring, cabinetry, furniture, heavy construction, docks, railroad ties, bearings, handles, and other turned objects.",1,,,,,,,,,,,40,1,50,1,,
"rhodesian teak, zambesi redwood",baikiaea plurijuga,1,primarily zimbabwe (formerly rhodesia) and other countries in southern africa,1,0.3,1,0.6,1,890,1,13300,1,84.3,1,8.48,1,66.2,1,2.6,1,4.5,1,6.9,1," rated as very durable; good insect resistance, though sapwood is prone to insect attack.",1,"can be difficult to work because of high cutting resistance, saws slowly, and has a tendency to ride up over jointer knives. also, due to its high silica content, cutting edges become severely blunted. however, the wood is stable in service, and glues, turns, and finishes well.",1," flooring, veneer, millwork, fretboards, and turned objects.",1,,,,,,,,,,,15,1,20,1,,
thuya (burl),tetraclinis articulata,1,atlas mountain region,1,0.3,1,0.6,1,680,1,5140,1,93.8,1,12.41,1,53.4,1,4.5,1,5.1,1,0,1,,1,"like most other burls, thuya burl can be difficult to work, and care must be taken to avoid tearout. most shaping/planing operations will result in torn grain, and should be performed by hand with very sharp tools. sands and finishes well.",1,,1,,,,,,,,,,,6,1,15,1,,
" goncalo alves, tigerwood, jobillo",astronium graveolens (syn. a. fraxinifolium),1,from mexico southward to brazil,1,1,1,1.5,1,905,1,9640,1,117,1,16.56,1,74.2,1,4.2,1,7.8,1,11.2,1," goncalo alves has excellent weathering properties, and is rated as very durable regarding decay resistance.",1,"goncalo alves is generally not too difficult to work, despite its high density. figured pieces with irregular grain can pose a challenge in planing and machining operations. goncalo alves can also have a moderate blunting effect on cutters. the wood is very resistant to moisture absorption, which can make it difficult to glue. goncalo alves turns and finishes well.",1," flooring, veneers, furniture, cabinetry, carving, turned objects, and other small wood specialty objects such as pool cues, archery bows, knife handles, etc.",1,,,,,,,,,,,30,1,40,1,,
timborana,piptadenia spp.,1,central america and brazil,1,0.6,1,1,1,800,1,6880,1,120,1,16.41,1,71,1,4.6,1,6.9,1,10.8,1," timborana is generally regarded as durable or moderately durable regarding decay resistance, though it issusceptibleto insect attack.",1,"timborana has a fairly high blunting effect on cutters due to its silica content. the wood is also somewhat difficult to surface, owing to its interlocked grain and density. timborana glues and finishes well.",1," in the united states, timborana is used mainly for flooring material. it is also occasionally imported as turning stock. within its native range, timborana is also used for heavy construction, interior millwork, and furniture.",1,,,,,,,,,,,20,1,30,1,,
tineo,weinmannia trichosperma,1,south america (mainly chile and argentina),1,0.6,1,1,1,710,1,4570,1,90,1,10.81,1,44.1,1,4,1,8,1,13,1," veneer, furniture, interiormillwork, and turned objects.",1,,1,,1,,,,,,,,,,,20,1,30,1,,
tornillo,cedrelinga catenaeformis,1,tropical south america,1,1,1,1.9,1,555,1,4230,1,68.1,1,10.86,1,41.1,1,3.8,1,6.9,1,12.6,1,rated as moderately durable; poor insect resistance.,1,"easy to work with hand or machine tools, yet due to it's low density and interlocked grain, fuzzy surfaces may result from some machining operations. extra sanding or very sharp tools may be necessary to obtain a smooth finish. turns, glues, and finishes well.",1," furniture, turned objects, construction/utility wood, and paper (pulpwood).",1,,,,,,,,,,,20,1,35,1,,
"ailanthus, tree of heaven, chinese sumac",ailanthus altissima,1,native to china; widely naturalized worldwide,1,0.6,1,1,1,600,1,6300,1,76.2,1,11.19,1,46.1,1,6.1,1,10.8,1,17.1,1,no data available; reported to have good insect resistance.,1,"easy to work with hand and machine tools. turns, glues, stains, and finishes well.",1,"cabinetry, turned objects, and paper (pulpwood).",1,,,,,,,,,,,20,1,30,1,,
tulipwood,dalbergia decipularis (also dalbergia frutescens),1,northeastern brazil,1,0.3,1,0,1,970,1,11120,1,0,1,0,1,0,1,0,1,0,1,0,1,,1,,1,,1,,,,,,,,,,,6,1,9,1,,
" black tupelo, blackgum",nyssasylvatica,1,eastern north america,1,0.6,1,1,1,545,1,3570,1,65.5,1,8.19,1,37.7,1,5.1,1,8.7,1,14.4,1,rated as non-durable to perishable; also susceptible to insect attack.,1,"easily worked with hand or machine tools, though tupelo has a tendency to warp while drying, and has a high amount of movement in service. responds well to power-carving, with little fuzz-up.",1," carving, furniture, crates/boxes, and utility wood.",1,,,,,,,,,,,20,1,30,1,,
" water tupelo, tupelo-gum",nyssa aquatica,1,southeastern united states,1,0.6,1,1,1,550,1,3870,1,66.5,1,8.62,1,40.8,1,4.2,1,7.6,1,12.5,1,rated as non-durable to perishable; also susceptible to insect attack.,1,"easily worked with hand or machine tools, though tupelo has a tendency to warp while drying, and has a high amount of movement in service. responds well to power-carving, with little fuzz-up.",1," carving, furniture, crates/boxes, and utility wood.",1,,,,,,,,,,,20,1,30,1,,
turpentine,syncarpia glomulifera,1,australia,1,0.9,1,1.2,1,940,1,12230,1,149,1,15.5,1,80.3,1,5.7,1,10.4,1,16.7,1,heartwood is reported to be very durable and resistant to decay from both fungi and insects.,1,"can be difficult to work due to its high density, which has a tendancy to dull cutting edges. finishes to a high luster. turns well.",1,,1,,,,,,,,,,,30,1,55,1,,
" tzalam,caribbeanwalnut, sabicu, false tamarind",lysiloma spp. (l.bahamense and l.latisiliquum),1,mexico and central america,1,0.6,1,1,1,780,1,6230,1,88.3,1,13.1,1,0,1,2.7,1,7.2,1,9.5,1," reported to be very durable, and also resistant to most insect attacks.",1,"overall working properties are good, though tzalam may blunt tool edges faster than usual. turns, glues, and finishes well. able to take a high natural polish.",1," flooring, exterior furniture, interior trim, veneer, turned objects, and other small,specialtywood items.",1,,,,,,,,,,,15,1,20,1,,
" utile, sipo, sipo mahogany",entandrophragma utile,1,west and central africa,1,1,1,1.5,1,635,1,5260,1,103.8,1,11.65,1,57.1,1,4.9,1,6.9,1,11.8,1,"rated as moderately durable to durable, with mixed reports on insect resistance.",1,"utile can be troublesome to work in some machining operations, (i.e., planing, routing, etc.), resulting in tearout due to its interlocked grain. it will also react when put into direct contact with iron, becoming discolored and stained. turns, glues, and finishes well.",1," furniture,cabinetry, veneer, boatbuilding, flooring, and turned objects.",1,,,,,,,,,,,45,1,60,1,,
