Common Name(s),Scientific Name,Distribution,Tree Size,Average Dried Weight,Janka Hardness,Modulus of Rupture,Elastic Modulus,Crushing Strength,Shrinkage,Rot Resistance,Workability,Common Uses
" rengas, borneo rosewood, tiger rengas", gluta spp. and melanorrhoea spp.,from india to papua new guinea," 100-130 ft (30-40 m) tall, 2-4 ft (.6-1.2 m) trunk diameter",  48 lbs/ft3 (765 kg/m3)," 1,720 lbf (7,650 n)"," 13,100 lbf/in2 (90.3 mpa)","  1,915,000 lbf/in2 (13.20 gpa)"," 8,380 lbf/in2 (57.8 mpa)","radial 2.9%, tangential 5.3%, volumetric 8.2%, t/r ratio 1.8"," rated as moderately durable, though not resistant to termites or other insects."," severely dulls cutting tools due to a high silica content. otherwise, wood is fairly easy to work and glues and finishes well."," turned objects, cabinetry, furniture, and other specialty wood items."
" pau ferro, morado, bolivian rosewood, santos rosewood", machaerium spp. (machaerium scleroxylon), tropical south america (mainly brazil and bolivia)," 65-100 ft (20-30 m) tall, 3-5 ft (1-1.5 m) trunk diameter",  54 lbs/ft3 (865 kg/m3),"1,960 lbf (8,710 n)"," 17,750 lbf/in2 (122.4 mpa)"," 1,574,000 lbf/in2 (10.86 gpa)"," 8,830 lbf/in2 (60.9 mpa)"," radial 2.8%, tangential 6.7%, volumetric 9.9%, t/r ratio 2.4"," rated as verydurable, though quite susceptible to insect attack, and not recommended in direct ground contact."," pau ferro is considered overall to be of fair workability, as it can blunt the cutting edges of tools, and any irregular grain has a tendency to tearout during machining operations. also, many of the same challenges in gluing rosewoods are common to pau ferro as well. pau ferro turns and finishes well."," veneer, musical instruments, cabinetry, flooring, interior trim, turning, and other small specialty wood objects."
" tiete rosewood, patagonian cherry, sirari", guibourtia hymenaeifolia (syn.g. chodatiana), south america," 130-165 ft (40-50 m) tall,3-6 ft (1-2 m) trunk diameter", 59 lbs/ft3 (945 kg/m3)," 2,790 lbf (12,410 n)"," 15,830 lbf/in2 (109.2 mpa)"," 2,030,000 lbf/in2 (14.00 gpa)", no data available," radial 4.0%, tangential 7.0%, volumetric 9.7%, t/r ratio 1.8"," no specific data is available on the decay resistance of tiete rosewood, but tests have shown that untreated wood used in exterior applications has a tendency to warp and check."," tiete rosewood is hard and dense, making it more difficult to work than lighter woods, but its straight and uniform grain give it a reasonable workability. also, wood species in the <a href=""http//www.wood-database.com/wood-identification/by-scientific-name/#guibourtia"">guibourtia genus tend to contain silica that can prematurely dull cutters."," interior flooring, turned objects, and other small specialty wood items."
"rubberwood, plantation hardwood, para rubbertree",hevea brasiliensis,"native to brazil, but extensivelycultivatedin tropical regions, especially in asia","75-100 ft (23-30 m) tall, 1-3 ft (.3-1 m) trunk diameter",37 lbs/ft3 (595 kg/m3),"960 lbf (4,280 n)","10,420 lbf/in2 (71.9 mpa)","1,314,000lbf/in2 (9.07 gpa)","6,110 lbf/in2 (42.1 mpa)"," radial 2.3%, tangential 5.1%, volumetric 7.5%, t/r ratio 2.2"," rubberwood is perishable, and has very little natural resistance to decay. it is alsosusceptibleto fungal staining and insect attacks."," easy to work with both hand and machine tools. rubberwood tends to warp and twist in drying, though it is fairly stable in service once seasoned. glues, stains, and finishes well.","furniture, cabinetry, interior millwork, kitchen woodenware (cutting boards, knifeblocks, etc.), and other small,specialtywood items."
" sapele, sapelli, sapeli", entandrophragma cylindricum,tropical africa," 100-150 ft (30-45 m) tall, 3-5 ft (1-1.5 m) trunk diameter",  42 lbs/ft3 (670 kg/m3)," 1,410 lbf (6,280 n)"," 15,930 lbf/in2 (109.9 mpa)"," 1,746,000 lbf/in2 (12.04 gpa)"," 8,750 lbf/in2 (60.4 mpa)"," radial 4.8%, tangential 7.2%, volumetric 12.8%, t/r ratio 1.5", heartwood ranges from moderately durable to very durable in regard to decay resistance.moderate insect/borer resistance.," sapele can be troublesome to work in some machining operations, (i.e., planing, routing, etc.), resulting in tearout due to its interlocked grain. it will also react when put into direct contact with iron, becoming discolored and stained. sapele has a slight blunting effect on cutters, but it turns, glues, and finishes well."," veneer, plywood, furniture, cabinetry, flooring, boatbuilding, musical instruments, turned objects, and other small wooden specialty items."
 sassafras, sassafras albidum, eastern united states," 50-65 ft (15-20 m) tall, 2-3 ft (.6-1.0 m) trunk diameter", 31 lbs/ft3 (495 kg/m3)," 630 lbf (2,800 n)"," 9,000 lbf/in2 (62.1 mpa)"," 1,120,000 lbf/in2 (7.72 gpa)"," 6,600 lbf/in2 (45.5 mpa)"," radial 4.0%, tangential 6.2%, volumetric 10.3%, t/r ratio 1.6", rated as durable to very durable.," easy to work with both hand and machine tools. sassafras also has good dimensional stability once dry. glues, stains, and finishes well.","utility lumber, fence posts, boatbuilding, and furniture."
" blackheart sassafras, tasmanian sassafras", atherosperma moschatum, australia," 50-80 ft (15-25 m) tall, 2-3 ft (.6-1.0 m) trunk diameter", 39 lbs/ft3 (620 kg/m3)," 1,090 lbf (4,860 n)"," 14,570 lbf/in2 (100.5 mpa)","1,827,000lbf/in2(12.60 gpa)"," 6,400 lbf/in2 (44.1 mpa)","radial 2.5%, tangential 6.3%, volumetric 8.9%, t/r ratio 2.5", rated as non-durable to perishable.," easy to work with both hand and machine tools. responds well to steam-bending operations, with little spring-back. turns, glues, stains, and finishes well.","cabinetry, furniture, flooring, musical instruments, carvings, and turned objects."
" pyinma, asian satinwood, crepe myrtle", lagerstroemia spp., southeast asia,"40-65 ft (12-20 m) tall, 2-3 ft (.6-1 m) trunk diameter", 44 lbs/ft3 (705 kg/m3)," 1,090 lbf (4,850 n)"," 14,120 lbf/in2 (97.4 mpa)"," 1,566,000 lbf/in2 (10.8 gpa)"," 9,300 lbf/in2 (64.1 mpa)"," radial 4.4%, tangential 6.8%, volumetric 12.7%, t/r ratio 1.5"," rated as moderately durable to durable regarding decay resistance, withintermediateresistance to insect attack."," generally easy to work, producing good results, though pieces with curly grain (as with any species of figured wood) will be inevitably moredifficultto plane and machine without tearout. doesn't have the blunting effect on cutters that true satinwoods exhibit. turns, glues, andfinisheswellpolishes to a high luster."," furniture, boatbuilding, general utility work (within its native range), turned objects, and other small specialty items."
" east indian satinwood, ceylon satinwood", chloroxylon swietenia," central and southern india, and sri lanka (formerly ceylon)"," 40-50 ft (12-15 m) tall, 1-1.5 ft (.3-.5 m) trunk diameter", 61 lbs/ft3 (975 kg/m3)," 2,620 lbf (11,650 n)"," 21,080 lbf/in2 (145.4 mpa)"," 2,111,000 lbf/in2 (14.56 gpa)"," 10,410 lbf/in2 (71.8 mpa)"," radial 5.7%, tangential 8.1%, volumetric 13.9%, t/r ratio 1.4"," rated as very durable regarding decay resistance, though susceptibleto insect attack."," difficult to work on account of its high density and interlocked grain. most surfacing and planing operations result in tearout,especiallyon quartersawn surfaces. pronounced blunting effect on cutters. turns superbly. glues and finishes wellable to take a high natural polish."," veneer, inlays, fine furniture, turned objects, and other small specialty items."
" east indian satinwood, ceylon satinwood", chloroxylon swietenia," central and southern india, and sri lanka (formerly ceylon)"," 40-50 ft (12-15 m) tall, 1-1.5 ft (.3-.5 m) trunk diameter", 61 lbs/ft3 (975 kg/m3)," 2,620 lbf (11,650 n)"," 21,080 lbf/in2 (145.4 mpa)"," 2,111,000 lbf/in2 (14.56 gpa)"," 10,410 lbf/in2 (71.8 mpa)"," radial 5.7%, tangential 8.1%, volumetric 13.9%, t/r ratio 1.4"," rated as very durable regarding decay resistance, though susceptibleto insect attack."," difficult to work on account of its high density and interlocked grain. most surfacing and planing operations result in tearout,especiallyon quartersawn surfaces. pronounced blunting effect on cutters. turns superbly. glues and finishes wellable to take a high natural polish."," veneer, inlays, fine furniture, turned objects, and other small specialty items."
" movingui, ayan, nigerian satinwood", distemonanthus benthamianus, west africa," 100-125 ft (30-38 m) tall, 3-5 ft (1-1.5 m) trunk diameter",  45 lbs/ft3 (720 kg/m3)," 1,280 lbf (5,680 n)"," 18,740 lbf/in2 (129.2 mpa)"," 1,773,000 lbf/in2 (12.23 gpa)","8,890 lbf/in2 (61.3 mpa)"," radial 3.5%, tangential 5.7%, volumetric 10.0%, t/r ratio 1.6"," rated as moderately durable regarding decay resistance, and moderately resistant to termite attack."," generally the wood is easy to work, though movingui can have up to 1.3% silica content by weight, which may result in blunting effects ranging from moderate to severe. quartersawn surfaces may be inclined to tearout during planing, and charring of the wood may occur during drilling. movingui glues, stains, and finishes well.responds moderately well to steam bending."," veneer, cabinetry, furniture, and flooring."
 west indian satinwood, zanthoxylum flavum(syn. fagara flava), caribbean," 30-40 ft (9-12 m) tall, 1-1.5 ft (30-46 cm) trunk diameter", 56 lbs/ft3 (900 kg/m3)," 1,820 lbf (8,100 n)", no data available, no data available, no data available," radial ~6%, tangential ~9%, volumetric ~15%, t/r ratio ~1.5"," reports range from durable to non-durableregardingdecay resistance, withintermediateresistance to insectattack."," difficult to work on account of its high density and interlocked grain. most surfacing and planing operations result in tearout,especiallyon quartersawn surfaces. pronounced blunting effect on cutters. turns superbly. glues and finishes wellable to take a high natural polish."," veneer, inlays, fine furniture, turned objects, and other small specialty items."
" amazique, amazoue, mozambique, ovangkol, shedua", guibourtia ehie, tropical west africa," 100-150 ft (30-45 m) tall, 3-5 ft (1-1.5 m) trunk diameter",  51 lbs/ft3 (825 kg/m3)," 1,330 lbf (5,900 n)","20,350 lbf/in2 (140.3 mpa)","  2,701,000 lbf/in2 (18.6 gpa)","9,320 lbf/in2 (64.2 mpa)"," radial 4.3%, tangential 8.3%, volumetric 12.1%, t/r ratio 1.9"," rated as moderately durable, with good resistance to insect attack."," overall a fairly easy wood to work, though ovangkol contains silica and can therefore dull cutters prematurely. also, if the grain is interlocked, or if there is other figure present in the wood, planing and other machining operations may be troublesome and cause tearout. turns, glues and finishes well."," veneer, furniture, cabinetry, turned objects, musical instruments, and flooring."
" sissoo, sheesham", dalbergia sissoo," primarily northern india, nepal, and pakistan, as well as western asia; also grown on plantations"," 35-65 ft (10-20 m) tall, 2-3 ft (.6-1 m) trunk diameter", 48 lbs/ft3 (770 kg/m3)," 1,660 lbf (7,380 n)"," 14,140lbf/in2 (97.5 mpa)"," 1,508,000lbf/in2 (10.40 gpa)"," 8,050 lbf/in2 (55.5 mpa)"," radial 3.1%, tangential 5.3%, volumetric 8.4%, t/r ratio 1.8", sissoo has good decayresistance and is rated as durable to very durable.," sissoo has good working characteristics, and responds well to nearly all machining operations (the exception being sections of wood with interlocked grain, which tend to tear out during surfacing). however, chalky deposits occasionally present in the wood can dull cutters quickly. sissoo turns, glues, and finishes well."," veneer, plywood, musical instruments (percussion), furniture, flooring, boatbuilding, carving, and turned objects."
 sheoak, allocasuarina spp. and casuarina spp., australia," 50-130 ft (15-40 m) tall, 1-2 ft (.3-.6 m) trunk diameter",47 lbs/ft3 (750 kg/m3)," 2,190 lbf (9,730 n)","15,230 lbf/in2 (105.0 mpa)","1,549,000 lbf/in2 (10.68 gpa)","6,820 lbf/in2 (47.0 mpa)"," radial 4.0%, tangential 10.8%, volumetric 14.8%, t/r ratio 2.8","varies depending on species, many are rated as non-durable, though some are moderately durable or durable. most species are susceptible to insect attack."," denser species can be difficult to work, and overall working properties are considered subpar when compared to domestic hardwoods such as oak (quercus spp.) finishes well.","flooring, cabinetry, tool handles, and other turned objects."
"shittim, red acacia, shittah",vachellia seyal (syn. acacia seyal),northern tropical africa,"25-50 ft (8-15 m) tall, 1-2 ft (.3-.6 m) trunk diameter",41 lbs/ft3 (660 kg/m3),"1,150 lbf (5,110 n)*","14,220 lbf/in2 (98.1 mpa)","1,550,000 lbf/in2(10.69 gpa)*","6,700 lbf/in2(46.2 mpa)*","radial 3.6%, tangential 5.8%, volumetric 9.5%, t/r ratio 1.6*", no data available., no data available., no data available.
" northern silky oak,australianlacewood", cardwellia sublimis," queensland, australia"," 50-80 ft (15-25 m) tall, 2-3 ft (.6-1.0 m) trunk diameter", 35 lbs/ft3 (560 kg/m3)," 840 lbf (3,740 n)"," 9,520 lbf/in2 (65.7 mpa)","  1,293,000 lbf/in2 (8.92 gpa)"," 5,680 lbf/in2 (39.2 mpa)"," radial 3.8%, tangential 7.2%, volumetric 11.5%, t/r ratio 1.9"," northern silky oak is rated from moderately durable to non-durable, and is also susceptible to insect attack."," overall a fairly easy wood to work with, though there may be some difficulty in planing, with tearout occurring. northern silky oak also has a medium to high blunting effect on cutting edges. glues and finishes well."," veneer, cabinetry, fine furniture, musical instruments, turned objects, and other small specialty items."
 southern silky oak, grevillea robusta," eastern coastal australia, also grown on plantations in south africa"," 65-100 ft (20-30 m) tall, 2-3 ft (.6-1.0 m) trunk diameter",37lbs/ft3 (590 kg/m3)," 880 lbf (3,930 n)"," 10,790 lbf/in2 (74.4 mpa)","  1,151,000 lbf/in2 (7.93 gpa)"," 5,080 lbf/in2 (35.0 mpa)"," radial 2.7%, tangential 7.7%, volumetric 10.5%, t/r ratio 2.9"," southern silky oak is rated as moderately durable to durable in regards to decay resistance, and it is also moderately resistant to most insect attacks."," overall a fairly easy wood to work with, though there may be some difficulty in planing, with tearout occurring. southern silky oak also has a moderate blunting effect on cutting edges. glues and finishes well."," veneer, cabinetry, fine furniture, musical instruments, turned objects, and other small specialty items."
" utile, sipo, sipo mahogany", entandrophragma utile, west and central africa," 150-200 ft (45-60 m) tall, 3-5 ft (1-1.5 m) trunk diameter", 40 lbs/ft3 (635 kg/m3)," 1,180 lbf (5,260 n)"," 15,060 lbf/in2 (103.8 mpa)"," 1,689,000 lbf/in2 (11.65 gpa)"," 8,280 lbf/in2 (57.1 mpa)"," radial 4.9%, tangential 6.9%, volumetric 11.8%, t/r ratio 1.4","rated as moderately durable to durable, with mixed reports on insect resistance.","utile can be troublesome to work in some machining operations, (i.e., planing, routing, etc.), resulting in tearout due to its interlocked grain. it will also react when put into direct contact with iron, becoming discolored and stained. turns, glues, and finishes well."," furniture,cabinetry, veneer, boatbuilding, flooring, and turned objects."
" tiete rosewood, patagonian cherry, sirari", guibourtia hymenaeifolia (syn.g. chodatiana), south america," 130-165 ft (40-50 m) tall,3-6 ft (1-2 m) trunk diameter", 59 lbs/ft3 (945 kg/m3)," 2,790 lbf (12,410 n)"," 15,830 lbf/in2 (109.2 mpa)"," 2,030,000 lbf/in2 (14.00 gpa)", no data available," radial 4.0%, tangential 7.0%, volumetric 9.7%, t/r ratio 1.8"," no specific data is available on the decay resistance of tiete rosewood, but tests have shown that untreated wood used in exterior applications has a tendency to warp and check."," tiete rosewood is hard and dense, making it more difficult to work than lighter woods, but its straight and uniform grain give it a reasonable workability. also, wood species in the <a href=""http//www.wood-database.com/wood-identification/by-scientific-name/#guibourtia"">guibourtia genus tend to contain silica that can prematurely dull cutters."," interior flooring, turned objects, and other small specialty wood items."
" sissoo, sheesham", dalbergia sissoo," primarily northern india, nepal, and pakistan, as well as western asia; also grown on plantations"," 35-65 ft (10-20 m) tall, 2-3 ft (.6-1 m) trunk diameter", 48 lbs/ft3 (770 kg/m3)," 1,660 lbf (7,380 n)"," 14,140lbf/in2 (97.5 mpa)"," 1,508,000lbf/in2 (10.40 gpa)"," 8,050 lbf/in2 (55.5 mpa)"," radial 3.1%, tangential 5.3%, volumetric 8.4%, t/r ratio 1.8", sissoo has good decayresistance and is rated as durable to very durable.," sissoo has good working characteristics, and responds well to nearly all machining operations (the exception being sections of wood with interlocked grain, which tend to tear out during surfacing). however, chalky deposits occasionally present in the wood can dull cutters quickly. sissoo turns, glues, and finishes well."," veneer, plywood, musical instruments (percussion), furniture, flooring, boatbuilding, carving, and turned objects."
" snakewood, letterwood, amourette", brosimum guianense(syn.piratinera guianensis), coastal regions of northeast south america," 65-80 ft (20-25 m) tall, 6-12 in (15-30 cm) trunk diameter"," 76 lbs/ft3 (1,210 kg/m3)"," 3,800 lbf (16,900 n)"," 28,270 lbf/in2 (195.0 mpa)","3,364,000 lbf/in2 (23.20 gpa)"," 17,260 lbf/in2 (119.0 mpa)"," radial 4.7%, tangential 6.0%, volumetric 10.7%, t/r ratio 1.3"," snakewood is reported to be very durable and also resistant to insect attack, though it is seldom used in exterior applications where durability would be an issue."," being closely related to <a href=""http//www.wood-database.com/lumber-identification/hardwoods/bloodwood/"">bloodwood, snakewood shares many of the same working properties; namely, the wood is extremely dense, and has a pronounced blunting effect on cutters. snakewood also tends to be quite brittle and can splinter easily while being worked. despite the difficulties of working it, snakewood turns well and finishes to a high polish."," inlay, veneer, violin bows, tool handles, and other small turned or specialty objects."
 sourwood, oxydendrum arboreum, southeastern united states," 30-65 ft (10-20 m) tall, 1-2 ft (.3-.6 m) trunk diameter",38 lbs/ft3 (610 kg/m3)," 940 lbf (4,180 n)"," 11,600 lbf/in2 (80.0 mpa)"," 1,540,000 lbf/in2 (10.62 gpa)","6,190 lbf/in2 (42.7 mpa)","radial 6.3%, tangential 8.9%, volumetric 15.2%, t/r ratio 1.4", no data available., no data available., no data available.
" tamarind, spalted tamarind", tamarindus indica, native to tropical africa; <br />widely planted throughout tropical regions worldwide," 50-80 ft (15-24 m) tall, 2-3 ft (.6-1 m) trunk diameter", 53 lbs/ft3 (850 kg/m3)," 2,690 lbf (11,970 n)"," 16,090 lbf/in2 (111.0 mpa)"," 1,918,000 lbf/in2 (13.22 gpa)"," 8,640 lbf/in2 (59.6 mpa)"," radial ~3%, tangential ~7%, volumetric ~11%"," heartwood is reported to bedurableto very durable regarding decayresistance, and also resistant to insectattack. sapwood is non-durable and prone to insect and fungal attack, as well as spalting."," because of its density and interlocked grain, tamarind is generally considered difficult to work. heartwood also has a pronounced blunting effect on cutting edges. turns, glues, and finishes wellthe heartwood is able to take a high natural polish."," furniture, carvings, turned objects, and other small specialty wood items."
 black spruce, picea mariana, northern north america," 30-50 ft (10-15 m) tall, 1-1.5 ft (.3-.5 m) trunk diameter",28lbs/ft3 (450 kg/m3)," 520 lbf (2,320 n)"," 10,100 lbf/in2 (69.7 mpa)","  1,523,000 lbf/in2 (10.50 gpa)"," 5,410 lbf/in2 (37.3 mpa)"," radial 4.1%, tangential 6.8%, volumetric 11.3%, t/r ratio 1.7", heartwood is rated as being slightly resistant to non-resistant to decay.," easy to work, as long as there are no knots present. glues and finishes well, though it can give poor (blotchy and inconsistent) results when being stained due to its closed pore structure. a sanding sealer, gel stain, or toner is recommended when coloring spruce."," paper (pulpwood), construction lumber, millwork, and crates."
 engelmann spruce, picea engelmannii, western north america," 130 ft (40 m) tall, 3 ft (1 m) trunk diameter", 24 lbs/ft3 (385 kg/m3)," 390 lbf (1,740 n)"," 9,010 lbf/in2 (62.2 mpa)","  1,369,000 lbf/in2 (9.44 gpa)"," 4,560 lbf/in2 (31.5 mpa)"," radial 3.8%, tangential 7.1%, volumetric 11.0%, t/r ratio 1.9", heartwood is rated as being slightly resistant to non-resistant to decay.," easy to work, as long as there are no knots present. glues and finishes well, though it can give poor (blotchy and inconsistent) results when being stained due to its closed pore structure. a sanding sealer, gel stain, or toner is recommended when coloring spruce."," construction lumber, sheathing, railroad ties, wood pulp, and papermaking; also used occasionally in place of <a href=""http//www.wood-database.com/lumber-identification/softwoods/sitka-spruce/"">sitka spruce on guitars and other musical instrument soundboards."
" norway spruce, european spruce, german spruce", picea abies, northern and central europe," 115-180 ft (35-55 m) tall, 3-5 ft (1-1.5 m) trunk diameter", 25 lbs/ft3 (405 kg/m3)," 380 lbf (1,680 n)"," 9,130 lbf/in2 (63.0 mpa)","  1,406,000 lbf/in2 (9.70 gpa)"," 5,150 lbf/in2 (35.5 mpa)"," radial 3.9%, tangential 8.2%, volumetric 12.9%, t/r ratio 2.1", heartwood is rated as being slightly resistant to non-resistant to decay.," easy to work, as long as there are no knots present. glues and finishes well, though it can give poor (blotchy and inconsistent) results when being stained due to its closed pore structure. a sanding sealer, gel stain, or toner is recommended when coloring spruce."," paper (pulpwood), construction lumber, millwork, crates, christmas trees, and musical instrument soundboards."
" red spruce, adirondack spruce", picea rubens, eastern north america," 80-110 ft (24-34 m) tall, 2-4.5 ft (.6-1.4 m) trunk diameter", 27 lbs/ft3 (435 kg/m3)," 490 lbf (2,180 n)","9,580 lbf/in2 (66.0 mpa)","  1,560,000 lbf/in2 (10.76 gpa)","4,870 lbf/in2 (33.6 mpa)","radial 3.8%, tangential 7.8%, volumetric 11.8%, t/r ratio 2.1", heartwood is rated as being slightly resistant to non-resistant to decay.," easy to work, as long as there are no knots present. glues and finishes well, though it can give poor (blotchy and inconsistent) results when being stained due to its closed pore structure. a sanding sealer, gel stain, or toner is recommended when coloring spruce."," paper (pulpwood), construction lumber, millwork, crates, christmas trees, and musical instrument soundboards."
 sitka spruce, picea sitchensis, northwestern north america,"130-160 ft (40-50 m) tall, 4-6 ft (1.2-1.8 m) trunk diameter", 27 lbs/ft3 (425 kg/m3)," 510 lbf (2,270 n)"," 10,150 lbf/in2 (70.0 mpa)","  1,600,000 lbf/in2 (11.03 gpa)"," 5,550 lbf/in2 (38.2 mpa)"," radial 4.3%, tangential 7.5%, volumetric 11.5%, t/r ratio 1.7", heartwood is rated as being slightly resistant to non-resistant to decay.," easy to work, as long as there are no knots present. glues and finishes well, though it can give poor (blotchy and inconsistent) results when being stained due to its closed pore structure. a sanding sealer, gel stain, or toner is recommended when coloring spruce."," lumber, boxes/crates, furniture, millwork, aircraft components, musical instrument soundboards, boatbuilding (masts and spars), wind turbine blades, and virtually any application where a wood material with a good strength-to-weight ratio is needed."
 white spruce, picea glauca, northern north america," 110 ft (34 m) tall, 2-3 ft (.6-1.0 m) trunk diameter", 27 lbs/ft3 (425 kg/m3)," 480 lbf (2,140 n)","8,640 lbf/in2 (59.6 mpa)","  1,315,000 lbf/in2 (9.07 gpa)","4,730 lbf/in2 (32.6 mpa)"," radial 4.7%, tangential 8.2%, volumetric 13.7%, t/r ratio 1.7", heartwood is rated as being slightly resistant to non-resistant to decay.," easy to work, as long as there are no knots present. glues and finishes well, though it can give poor (blotchy and inconsistent) results when being stained due to its closed pore structure. a sanding sealer, gel stain, or toner is recommended when coloring spruce."," paper (pulpwood), construction lumber, millwork, and crates."
"sugi, japanese cedar",cryptomeria japonica, endemic to japan; commonly grown on plantations within asia,"100-165 ft (30-50 m) tall, 6-10 ft (2-3 m) trunk diameter",23 lbs/ft3 (360 kg/m3),"320 lbf (1,420 n)","5,280 lbf/in2 (36.4 mpa)","1,109,000 lbf/in2 (7.65 gpa)","4,060 lbf/in2 (28.0 mpa)"," radial 2.1%, tangential 6.8%, volumetric 10.5%, t/r ratio 3.2",rated as moderately durable to durable; moderateinsect/borer resistance.,"generally easy to work with hand or machine tools, though knotty areas can be troublesome. responds poorly to steam bending. glues, stains, and finishes well.","siding, paneling, furniture, fences, boatbuilding, and small specialty items."
" sumac, staghorn sumac", rhus spp. (rhus typhina), northeastern united states," 30-40 ft (10-12 m) tall, 6-12 in(15-30 cm) trunk diameter", 33 lbs/ft3 (530 kg/m3)," 680 lbf (3,030 n)"," 10,200 lbf/in2 (70.4 mpa)"," 1,190,000 lbf/in2 (8.21 gpa)"," 5,940 lbf/in2 (41.0 mpa)",no data available," sumac is rated as being non-durable to perishable regarding decay resistance, and is alsosusceptibleto insect attack."," sumac is generally easy to work, yet its low density can produce fuzzy surfaces that need to be cleaned up with sanding."," small specialty items, carving, turned objects, and inlay."
" sweetbay, swamp magnolia", magnolia virginiana, southeastern united states," 50-80 ft (15-24 m) tall, 2-3 ft (.6-1 m) trunk diameter", 34 lbs/ft3 (545 kg/m3), 810 lbf (3.600 n)*," 10,900 lbf/in2 (75.2 mpa)"," 1,640,000 lbf/in2 (11.31 gpa)"," 5,680 lbf/in2 (39.2 mpa)"," radial 4.7%, tangential 8.3%, volumetric 12.9%, t/r ratio 1.8"," rated as non-durable to perishable regarding decay resistance, and alsosusceptibleto insect attack."," generally easy to work with both hand and machine tools. turns, glues, stains, and finishes well."," veneer, plywood, interior trim,upholstered furniture frames, and general utility wood."
" sweetgum, redgum, sapgum", liquidambar styraciflua, southeastern united states,"65-100 ft (20-30 m) tall, 2-3 ft (.6-1 m) trunk diameter", 34 lbs/ft3 (545 kg/m3)," 850 lbf (3,780 n)"," 12,500 lbf/in2 (86.2 mpa)"," 1,640,000 lbf/in2 (11.31 gpa)"," 6,320 lbf/in2 (43.6 mpa)"," radial 5.3%, tangential 10.2%, volumetric 15.8%, t/r ratio 1.9"," heartwood sections are rated as moderately durable to non-durable regarding decay resistance, while the sapwood is perishable. alsosusceptibleto insect attack."," generally easy to work, though planing can produce tearout due to interlocked grain. sweetgum is known to warp and distort badly duringinitialdrying. (after initial drying, distortion is significantly less, but the wood still experiences anappreciableamount of movement in service.) turns, glues, stains, and finishes well. responds moderately well to steam bending."," veneer, plywood, furniture (speaker/acoustic cabinets), interior trim, boxes/crates, and turned objects."
" sycamore, american plane", platanus occidentalis, eastern united states,"75-120 ft (23-37 m) tall, 3-8 ft (1-2.4 m) trunk diameter",  34 lbs/ft3 (545 kg/m3)," 770 lbf (3,430 n)"," 10,000 lbf/in2 (69.0 mpa)"," 1,420,000 lbf/in2 (9.79 gpa)"," 5,380 lbf/in2 (37.1 mpa)"," radial 5.0%, tangential 8.4%, volumetric 14.1%, t/r ratio 1.7"," sycamore is rated as non-durable to perishable regarding decay resistance, and is susceptible to insect attack."," overall, sycamore works easily with both hand and machine tools, though the interlocked grain can be troublesome in surfacing and machining operations at times. sycamore turns, glues, and finishes well. responds poorly to steam bending."," veneer, plywood, interior trim, pallets/crates, flooring, furniture, particleboard, paper (pulpwood), tool handles, and other turned objects."
" sycamore maple, european sycamore", acer pseudoplatanus, europe and southwestern asia," 80-115 ft (25-35 m) tall, 3-4 ft (1.0-1.2 m) trunk diameter", 38 lbs/ft3 (615 kg/m3)," 1,050 lbf (4,680 n)"," 14,220 lbf/in2 (98.1 mpa)","  1,438,000 lbf/in2 (9.92 gpa)"," 7,980 lbf/in2 (55.0 mpa)"," radial 4.5%, tangential 7.8%, volumetric 12.3%, t/r ratio 1.7", rated as non-durable to perishable in regard to decay resistance.," fairly easy to work with both hand and machine tools, though maple has a tendency to burn when being machined with high-speed cutters such as in a router. turns, glues, and finishes well, though blotches can occur when staining, and a pre-conditioner, gel stain, or toner may be necessary to get an even color."," veneer, paper (pulpwood), boxes, crates/pallets, musical instruments, turned objects, and other small specialty wood items."
" tamarack, american larch, eastern larch", larix larcina, canada and northeastern united states," 50-65 ft (15-20 m) tall, 1-2 ft (.3-.6 m) trunk diameter", 37 lbs/ft3 (595 kg/m3)," 590 lbf (2,620 n)"," 11,600 lbf/in2 (80.0 mpa)"," 1,640,000 lbf/in2 (11.31 gpa)"," 7,160 lbf/in2 (49.4 mpa)"," radial 3.7%, tangential 7.4%, volumetric 13.6%, t/r ratio 2.0", moderately durable regarding decay resistance.," most hand and machine operations produce good results. however, tamarack is high in silica content and will blunt cutting edges. also, because of the disparity between the soft earlywood and the hard latewood, sanding can create dips and uneven surfaces."," snowshoes, utility poles, posts, rough lumber, boxes/crates, and paper (pulpwood)."
" tamarind, spalted tamarind", tamarindus indica, native to tropical africa; <br />widely planted throughout tropical regions worldwide," 50-80 ft (15-24 m) tall, 2-3 ft (.6-1 m) trunk diameter", 53 lbs/ft3 (850 kg/m3)," 2,690 lbf (11,970 n)"," 16,090 lbf/in2 (111.0 mpa)"," 1,918,000 lbf/in2 (13.22 gpa)"," 8,640 lbf/in2 (59.6 mpa)"," radial ~3%, tangential ~7%, volumetric ~11%"," heartwood is reported to bedurableto very durable regarding decayresistance, and also resistant to insectattack. sapwood is non-durable and prone to insect and fungal attack, as well as spalting."," because of its density and interlocked grain, tamarind is generally considered difficult to work. heartwood also has a pronounced blunting effect on cutting edges. turns, glues, and finishes wellthe heartwood is able to take a high natural polish."," furniture, carvings, turned objects, and other small specialty wood items."
